filename,comment_id,stance
comments-36.json,102296,against
comments-36.json,102297,against
comments-36.json,102300,against
comments-36.json,102303,against
comments-36.json,102305,against
comments-36.json,102306,against
comments-36.json,102307,against
comments-36.json,102309,against
comments-36.json,102310,against
comments-36.json,102314,against
comments-36.json,102315,against
comments-36.json,102317,for
comments-36.json,102318,against
comments-36.json,102319,against
comments-36.json,102320,against
comments-273.json,108364,against
comments-273.json,108365,for
comments-273.json,108366,against
comments-273.json,108367,against
comments-273.json,108368,against
comments-273.json,108369,against
comments-273.json,108370,against
comments-273.json,108371,against
comments-273.json,108372,against
comments-273.json,108374,against
comments-273.json,108375,against
comments-273.json,108377,against
comments-273.json,108380,against
comments-273.json,108381,against
comments-273.json,108383,against
comments-273.json,108385,against
comments-789.json,120884,against
comments-789.json,120885,against
comments-789.json,120886,against
comments-789.json,120887,against
comments-789.json,120891,against
comments-789.json,120894,against
comments-789.json,120896,against
comments-789.json,120899,against
comments-789.json,120900,against
comments-789.json,120903,against
comments-789.json,120904,against
comments-789.json,120907,against
comments-789.json,120909,against
comments-623.json,116922,against
comments-623.json,116925,against
comments-623.json,116926,against
comments-623.json,116928,against
comments-623.json,116929,against
comments-623.json,116930,against
comments-623.json,116931,against
comments-623.json,116932,against
comments-623.json,116933,against
comments-623.json,116934,against
comments-623.json,116935,against
comments-623.json,116936,against
comments-623.json,116938,against
comments-623.json,116941,against
comments-623.json,116942,against
comments-623.json,116943,against
comments-623.json,116944,against
comments-623.json,116945,against
comments-623.json,116946,against
comments-623.json,116947,against
comments-336.json,109771,against
comments-336.json,109772,against
comments-336.json,109773,against
comments-336.json,109775,against
comments-336.json,109780,against
comments-336.json,109781,against
comments-336.json,109783,against
comments-336.json,109784,against
comments-336.json,109785,against
comments-336.json,109786,against
comments-336.json,109788,against
comments-336.json,109791,against
comments-336.json,109792,against
comments-766.json,120321,against
comments-766.json,120323,against
comments-766.json,120324,for
comments-766.json,120325,against
comments-766.json,120327,against
comments-766.json,120328,against
comments-766.json,120329,against
comments-766.json,120330,against
comments-766.json,120332,against
comments-766.json,120334,against
comments-766.json,120335,against
comments-766.json,120336,against
comments-766.json,120337,against
comments-766.json,120338,against
comments-766.json,120340,for
comments-766.json,120341,for
comments-418.json,111666,against
comments-418.json,111668,against
comments-418.json,111670,against
comments-418.json,111671,for
comments-418.json,111675,against
comments-418.json,111676,against
comments-418.json,111678,against
comments-418.json,111680,against
comments-418.json,111681,for
comments-418.json,111683,against
comments-418.json,111684,against
comments-418.json,111688,against
comments-674.json,118175,against
comments-674.json,118176,against
comments-674.json,118177,against
comments-674.json,118179,against
comments-674.json,118180,against
comments-674.json,118181,against
comments-674.json,118182,against
comments-674.json,118183,against
comments-674.json,118184,against
comments-674.json,118186,against
comments-674.json,118187,against
comments-674.json,118188,against
comments-674.json,118189,against
comments-674.json,118190,against
comments-674.json,118191,against
comments-674.json,118192,against
comments-674.json,118193,against
comments-674.json,118194,against
comments-674.json,118195,against
comments-224.json,106880,for
comments-224.json,106882,against
comments-224.json,106883,against
comments-224.json,106884,against
comments-224.json,106885,against
comments-224.json,106888,against
comments-224.json,106889,against
comments-224.json,106890,against
comments-224.json,106892,against
comments-224.json,106893,against
comments-224.json,106895,against
comments-224.json,106896,against
comments-224.json,106897,against
comments-224.json,106898,against
comments-224.json,106899,against
comments-224.json,106901,against
comments-224.json,106902,against
comments-224.json,106903,against
comments-61.json,102895,against
comments-61.json,102896,against
comments-61.json,102899,against
comments-61.json,102901,against
comments-61.json,102903,against
comments-61.json,102904,against
comments-61.json,102906,against
comments-61.json,102907,against
comments-61.json,102909,against
comments-61.json,102911,against
comments-61.json,102913,against
comments-61.json,102914,against
comments-61.json,102917,against
comments-61.json,102918,against
comments-731.json,119488,against
comments-731.json,119489,against
comments-731.json,119491,against
comments-731.json,119492,against
comments-731.json,119495,against
comments-731.json,119496,against
comments-731.json,119497,against
comments-731.json,119498,against
comments-731.json,119499,against
comments-731.json,119500,against
comments-731.json,119501,against
comments-731.json,119502,against
comments-731.json,119503,against
comments-731.json,119506,against
comments-731.json,119508,against
comments-361.json,110319,against
comments-361.json,110321,against
comments-361.json,110322,against
comments-361.json,110325,against
comments-361.json,110327,against
comments-361.json,110328,against
comments-361.json,110329,against
comments-361.json,110330,against
comments-361.json,110331,against
comments-361.json,110332,against
comments-361.json,110333,against
comments-361.json,110334,against
comments-361.json,110335,against
comments-361.json,110336,against
comments-361.json,110337,against
comments-361.json,110339,for
comments-818.json,121598,against
comments-818.json,121599,against
comments-818.json,121600,against
comments-818.json,121601,against
comments-818.json,121602,against
comments-818.json,121603,against
comments-818.json,121606,against
comments-818.json,121607,for
comments-818.json,121608,against
comments-818.json,121609,against
comments-818.json,121610,against
comments-818.json,121613,against
comments-818.json,121615,for
comments-818.json,121617,for
comments-77.json,103279,against
comments-77.json,103282,against
comments-77.json,103283,against
comments-77.json,103284,against
comments-77.json,103286,against
comments-77.json,103287,against
comments-77.json,103288,against
comments-77.json,103289,against
comments-77.json,103295,against
comments-77.json,103297,against
comments-77.json,103299,against
comments-77.json,103300,against
comments-232.json,107071,against
comments-232.json,107072,against
comments-232.json,107073,against
comments-232.json,107074,against
comments-232.json,107082,against
comments-232.json,107083,against
comments-232.json,107085,against
comments-232.json,107086,against
comments-232.json,107089,against
comments-662.json,117904,against
comments-662.json,117905,against
comments-662.json,117906,against
comments-662.json,117910,against
comments-662.json,117911,for
comments-662.json,117916,against
comments-662.json,117917,against
comments-662.json,117918,against
comments-662.json,117920,against
comments-662.json,117921,against
comments-662.json,117923,against
comments-662.json,117926,against
comments-662.json,117927,against
comments-398.json,111192,against
comments-398.json,111193,against
comments-398.json,111194,against
comments-398.json,111195,against
comments-398.json,111197,against
comments-398.json,111198,against
comments-398.json,111199,against
comments-398.json,111200,against
comments-398.json,111202,against
comments-398.json,111203,against
comments-398.json,111206,against
comments-398.json,111207,against
comments-398.json,111208,against
comments-398.json,111209,against
comments-398.json,111210,against
comments-398.json,111211,against
comments-377.json,110696,against
comments-377.json,110697,against
comments-377.json,110698,against
comments-377.json,110699,against
comments-377.json,110700,against
comments-377.json,110702,against
comments-377.json,110705,against
comments-377.json,110706,against
comments-377.json,110710,for
comments-377.json,110718,for
comments-377.json,110721,against
comments-377.json,110724,against
comments-377.json,110726,against
comments-377.json,110727,against
comments-377.json,110728,against
comments-727.json,119399,against
comments-727.json,119401,against
comments-727.json,119402,against
comments-727.json,119404,against
comments-727.json,119405,against
comments-727.json,119407,against
comments-727.json,119408,against
comments-727.json,119409,against
comments-727.json,119410,against
comments-727.json,119412,against
comments-727.json,119414,against
comments-727.json,119415,against
comments-727.json,119416,against
comments-727.json,119421,against
comments-727.json,119423,against
comments-98.json,103781,against
comments-98.json,103782,against
